,image_name,price
0,0.jpg,2780.0
1,1.jpg,449.95
2,2.jpg,399.0
3,3.jpg,349.0
4,4.jpg,549.0
5,5.jpg,549.0
6,6.jpg,499.0
7,7.jpg,499.0
8,8.jpg,69.0
9,9.jpg,949.0
10,10.jpg,59.0
11,11.jpg,349.0
12,12.jpg,59.0
13,13.jpg,59.0
14,14.jpg,579.0
15,15.jpg,799.0
16,16.jpg,59.0
17,17.jpg,699.0
18,18.jpg,799.0
19,19.jpg,69.0
20,20.jpg,679.0
21,21.jpg,59.0
22,22.jpg,949.0
23,23.jpg,69.0
24,24.jpg,399.0
25,25.jpg,249.0
26,26.jpg,939.0
27,27.jpg,69.0
28,28.jpg,599.0
29,29.jpg,119.0
30,30.jpg,59.0
31,31.jpg,389.0
32,32.jpg,619.0
33,33.jpg,499.0
34,34.jpg,649.0
35,35.jpg,69.0
36,36.jpg,399.0
37,37.jpg,539.0
38,38.jpg,69.0
39,39.jpg,69.0
40,40.jpg,69.0
41,41.jpg,249.0
42,42.jpg,579.0
43,43.jpg,289.0
44,44.jpg,249.0
45,45.jpg,499.0
46,46.jpg,289.0
47,47.jpg,749.0
48,48.jpg,1130.0
49,49.jpg,679.99
50,50.jpg,249.0
51,51.jpg,679.0
52,52.jpg,739.0
53,53.jpg,549.0
54,54.jpg,439.0
55,55.jpg,499.0
56,56.jpg,379.99
57,57.jpg,259.99
58,58.jpg,139.0
59,59.jpg,309.0
60,60.jpg,439.0
61,61.jpg,579.0
62,62.jpg,539.0
63,63.jpg,520.0
64,64.jpg,399.0
65,65.jpg,979.0
66,66.jpg,595.0
67,67.jpg,299.0
68,68.jpg,99.0
69,69.jpg,589.0
70,70.jpg,349.0
71,71.jpg,339.0
72,72.jpg,259.99
73,73.jpg,259.99
74,74.jpg,149.0
75,75.jpg,299.99
76,76.jpg,99.0
77,77.jpg,99.0
78,78.jpg,99.0
79,79.jpg,99.0
80,80.jpg,139.0
81,81.jpg,399.0
82,82.jpg,99.0
83,83.jpg,99.0
84,84.jpg,169.99
85,85.jpg,199.99
86,86.jpg,379.0
87,87.jpg,129.0
88,88.jpg,99.0
89,89.jpg,99.0
90,90.jpg,349.0
91,91.jpg,199.0
92,92.jpg,449.0
93,93.jpg,739.0
94,94.jpg,679.99
95,95.jpg,259.99
96,96.jpg,849.0
97,97.jpg,679.99
98,98.jpg,109.0
99,99.jpg,539.0
100,100.jpg,79.95
